NAME_1,viral_reels,job_vacancy
Andaman and Nicobar Islands,63,40
Andhra Pradesh,17,15
Arunachal Pradesh,52,19
Assam,82,34
Bihar,82,27
Chandigarh,78,29
Chhattisgarh,52,41
Dadra and Nagar Haveli,86,57
Daman and Diu,63,48
Delhi,64,29
Goa,40,34
Gujarat,65,34
Haryana,62,55
Himachal Pradesh,66,35
Jammu & Kashmir,99,13
Jharkhand,89,42
Karnataka,34,25
Kerala,23,78
Lakshadweep,,89
Madhya Pradesh,85,26
Maharashtra,67,33
Manipur,33,21
Meghalaya,49,25
Mizoram,22,9
Nagaland,51,26
Orissa,67,46
Puducherry,18,84
Punjab,85,24
Rajasthan,100,28
Sikkim,68,85
Tamil Nadu,15,100
Telangana,28,14
Tripura,65,25
Uttar Pradesh,73,24
Uttarakhand,77,35
West Bengal,49,36
